Device1,64.5397247340205,1.9869567222307407,6.474960042130806,3,Edge,2.0037193298339844
Device3,59.50171268333328,1.736444299103609,6.144616936536346,3,Edge,2.0254223346710205
Device4,52.872966275192745,2.659690049050857,7.046688364648135,3,Edge,2.0340075492858887
Device5,24.570607045570114,3.8923064855688603,5.179727110269191,2,Device,2.0499086380004883
Device1,69.26467268497962,3.473436392282458,9.407408505459818,1,Edge,2.011338710784912
Device2,40.012160654039405,1.1842202997589506,2.0403337308907292,3,Device,2.0203161239624023
Device3,40.27216506056811,5.676192164892219,9.923190117297564,2,Device,2.0409533977508545
Device4,31.91420803137266,1.5864002334381213,8.62641946028282,3,Device,2.0526013374328613
Device5,55.79688555942765,5.760423798003292,3.601204042229235,3,Edge,2.0366404056549072
Device1,42.50966445699602,1.0017476311062599,7.337966690624423,3,Device,2.054715633392334
Device3,46.77793519499299,7.397394713911886,4.122398108251543,2,Device,2.033165693283081
Device4,69.8778208054689,2.1690434229224635,1.7772821105783652,1,Edge,2.0209310054779053
Device5,28.609603440533885,5.107554431854404,4.251514655134846,3,Device,2.031688928604126
Device1,16.338780919404954,1.2722515119291344,6.5486796998712125,1,Device,2.04207181930542
Device2,53.51604746583641,7.9959696492812355,6.277320896974657,1,Edge,2.042982339859009
Device3,57.88482816746141,5.5742304205340325,8.090037860681395,3,Edge,2.021395444869995
Device4,35.99789029844745,2.7646662926929038,2.726498705725855,3,Device,2.031677007675171
Device5,51.16459207564035,3.855945573532054,5.138018545100963,3,Edge,2.037355422973633
Device1,20.58277230714638,6.645517493056006,8.18908363684833,3,Device,2.034456968307495
Device3,18.524035441514386,5.650047720245483,8.937335997101474,1,Device,2.04487681388855
Device4,66.78967240782978,6.296902321808195,7.647977487439693,3,Edge,2.0246028900146484
Device5,27.90950355171273,3.4697077387699338,1.7841588714792345,2,Device,2.0361216068267822
Device1,49.53744940649953,3.924918216920304,9.896344750747142,1,Edge,2.0370419025421143
Device2,14.212190608658066,1.721520268838743,8.28782720300497,3,Device,2.0403804779052734
Device3,25.497979472931,5.362138193662487,6.105979980865988,3,Device,2.025782346725464
Device4,27.659433067813815,5.441209652455675,3.5480170288983732,2,Device,2.0342137813568115
Device5,50.07528305031462,1.5553416070500523,7.4144730396730685,3,Edge,2.0525364875793457
Device1,11.322529443280864,3.0227201406989734,4.098319041953665,2,Device,2.046029806137085
Device2,69.93267873635645,1.316203626435968,3.8561840158668215,2,Edge,2.056746244430542
Device4,17.151854626369104,5.620107306421021,9.677653718248251,3,Device,2.0447449684143066
Device5,35.777442579388506,1.04380285428999,5.320950295467641,1,Device,2.0441818237304688
Device1,69.65324831881884,2.8970472344439857,9.038311468623062,3,Edge,2.039985179901123
Device2,16.463445377495912,7.230811568822908,1.7569909509244983,2,Device,2.0305378437042236
